ibanSource,amount,transactionType,companyName
FO2448469556008965,735.04,invoice,Reichert - Boyle
GR288200662L690969016578144,995.93,invoice,Williamson - O'Conner
QA65LBOG32U5L244NJ6BCO4F9418H,11.57,deposit,Schmidt - Wolf
MU61OLBY5083680454507008001VZU,421.84,invoice,Satterfield  Pagac and Ullrich
PK2414170900590008132423,982.86,deposit,Smitham  Stokes and Steuber
MK720799A3769814212,774.00,deposit,Zemlak Inc
PK712ZA18031780990060016,3.55,payment,Runolfsson  Breitenberg and O'Conner
AD11699400178630062BWJX4,908.56,withdrawal,Rath Inc
CH550047637599R853139,873.01,withdrawal,Ankunding - Langosh
FO8981849601400962,818.85,withdrawal,Welch Group
GT4876L933T8639V7834S4Y49V27,888.98,deposit,Wyman - Upton
RS84803800453059610306,312.33,invoice,Boyle - Thompson
TL242195010690780042213,256.04,withdrawal,VonRueden Inc
FI8310643605010163,340.63,invoice,Thiel Group
LU6200678994G49639C7,826.52,withdrawal,Morar - Keeling
NO5270021001880,780.95,deposit,Beatty - Schamberger
BG97EJPX00573314232G60,878.08,invoice,Brekke  Ebert and MacGyver
LV04HEUC43300LT7053XE,265.90,payment,Kohler - Macejkovic
AE233827213507980017142,218.44,invoice,DuBuque  Quitzon and Kuhlman
FI9300501560063668,142.34,payment,Block  Cormier and Franecki
HU39001700836480610070600285,265.74,payment,Howe  Medhurst and McKenzie
GR503104007J64128Y113832517,617.61,withdrawal,Yundt and Sons
DE30008009206310187818,564.83,invoice,Kuvalis  Lesch and Stiedemann
TN5970499970800719200570,40.93,payment,Little  West and Nitzsche
IS910313455006007600370717,300.31,payment,Dicki  Gerhold and Hyatt
MT55HWVH0283641D56W6205720406S9,678.31,invoice,Haag - Rohan
TN1942119071840008499397,910.86,deposit,Terry  Ziemann and Sawayn
LB909691E05TR44339271348N3N6,777.26,payment,Jenkins - O'Kon
ME28887864233022307665,128.71,withdrawal,Huels  Larkin and Lowe
IT04T4005009946531039032329,967.96,deposit,Lindgren Inc
LT170092120900472081,514.44,withdrawal,Christiansen  Kassulke and Wunsch
SI44192340030206003,863.37,deposit,Stokes - Murphy
IE10W4ZC09506809344164,38.61,invoice,Huels Group
SM62C0086006148RU88WLYT5127,623.51,invoice,Wiza Group
GI86LQAA4419727B2996JW4,262.24,withdrawal,Hamill  Kub and Weimann
GR878404002H59488135CM836C8,380.39,deposit,Lueilwitz - Koch
ME81516500906714461836,842.78,payment,Ortiz  Morar and Bergnaum
MD34X1210Y5362WVOT2K5T35,170.79,withdrawal,Hagenes Group
DE23103217920333001029,14.88,deposit,Hammes - Jaskolski
JO28FRWV0358004063049080035008,495.52,deposit,Gusikowski  Thiel and O'Conner
CY880061302328CB614042906897,978.13,deposit,Kilback and Sons
GL6107395842873002,256.63,payment,Schimmel - Moore
PT33813920980597370060529,46.39,payment,Mertz  Schiller and Schulist
PL32200859146009096201706987,336.29,withdrawal,Strosin LLC
IL799922136080340021049,669.87,deposit,Champlin LLC
ES4030035004470058090994,570.97,invoice,Crooks  Witting and Bernhard
DE52027700796013503047,480.78,deposit,Dickens - Hayes
AZ11986N24420907080570803493,101.11,invoice,Skiles  Sporer and Bartoletti
PS025383109844018237301800982,317.06,deposit,Herzog  Mueller and Wehner
GT63F45K30158VJ664880B69Q254,214.07,payment,Leuschke - Daugherty
IS415408705907138067452053,402.91,payment,Klein and Sons
RO87PAABF6231226ZDNH79W3,67.63,deposit,Boyle and Sons
BA410339630069116969,311.68,deposit,Schaefer  Harber and Hansen
VG972A310034090087327736,197.90,invoice,Reichert  Labadie and Bins
CH39010012A334X000736,82.44,invoice,Mills LLC
LT720041730011998861,851.20,invoice,Beer Inc
AL327200034461727Y2438848914,64.99,withdrawal,Quigley Inc
DK9600860015880072,910.10,withdrawal,Russel and Sons
VG4265010070149500400217,188.62,invoice,Zboncak and Sons
GI27PADRP47526218845873,350.05,invoice,Toy - Harris
BA344006580070007877,323.12,payment,Schoen - Torphy
MU69CGUO2005077670057614238GNO,273.08,invoice,Rosenbaum Group
GL4264599082602002,854.73,deposit,Schumm Group
AL646572000025F7725024I5807H,328.32,withdrawal,King - Pfeffer
DE55528330026009100764,512.38,payment,Champlin Group
CH9608534LI0565957465,27.95,deposit,Lynch  Rolfson and Kautzer
BE41090588492003,142.46,deposit,Erdman  Borer and Senger
GT4563WH21J3H78306R40U89A922,281.03,deposit,Boehm  Gutmann and Purdy
LV12LATH84567H9I28W6Z,856.64,invoice,Walsh - Olson
SK3640026098370010600416,391.43,payment,Lemke Inc
LI08337752030XCM26X80,746.24,invoice,Wiegand  Conn and Baumbach
KZ590904330670131U80,635.67,deposit,Marvin  Koelpin and Corkery
HU37265503605230093440807048,715.16,invoice,Shields and Sons
AD550003203938JC6326CH39,677.07,withdrawal,McDermott Inc
PK974YH91041483051601859,804.68,invoice,Ward Group
MK1048695ZF988V8W67,259.72,deposit,Turner  Spencer and Dibbert
IS216080042271780028800998,239.69,withdrawal,Tremblay - Goldner
GL6986260013030059,277.75,deposit,Vandervort - Hammes
IL678031607122053137340,103.27,withdrawal,Lesch - Tillman
RO38MMZM7X08848878923382,549.00,payment,Rolfson Group
AL738008350154D15833L29X8296,26.77,payment,Waters  Kuhn and Kiehn
GE24793004040990037896,95.55,payment,Barrows Group
TL848156660290100200118,583.06,payment,Ebert  Sauer and Murazik
GR802002484345E2345D1UT335M,146.76,withdrawal,Medhurst  Blick and Nicolas
AD511809608782038829P7HA,312.10,withdrawal,Murray  Tromp and Dach
BH24LRFV216P9U767W4700,935.30,payment,Cassin  Schinner and Johns
LU096876D35598L83551,184.75,withdrawal,Rolfson and Sons
DK9707726530523580,90.59,payment,Macejkovic  Durgan and Kuhlman
FI1600794850960032,463.94,payment,O'Kon  Marquardt and Kuvalis
NO7700341500152,214.42,deposit,Armstrong  Waelchi and Schumm
HU10100770082007724090099007,433.41,invoice,Friesen - Zemlak
FI0600300707908022,692.48,invoice,Bergnaum - Gusikowski
GE41234286680276601003,523.18,invoice,Breitenberg - Lowe
GI21IKKF8385611532M61I0,703.30,invoice,Carroll Inc
RS96216631614305661066,776.21,deposit,Huel - Oberbrunner
MT59AULU40290RH54728G4737248933,759.37,deposit,Dietrich and Sons
BA750005913908536797,945.61,invoice,Ortiz Group
MU12UXRR0091500767005540972NSX,288.61,withdrawal,Greenfelder Group
PK715GP73686096212108035,493.45,invoice,Altenwerth LLC
BH60SMMR015C31X020025C,231.53,invoice,Kovacek - Ratke
FI4603542708720029,978.58,invoice,Medhurst - Howe
